name;essround;edition;proddate;idno;cntry;dweight;pspwght;pweight;anweight;prob;stratum;psu;trstprl;trstlgl;trstplc;trstplt;trstprt;rlgdnase;gndr;agea;edlvdse
ESS10SCe03_1;10;03.янв;02.11.2023;13149;SE;1;1.086598;0.3734804;0.40582308;0.00072224496;2562;26130;8;8;8;6;5;2;2;43;18
ESS10SCe03_1;10;03.янв;02.11.2023;13157;SE;1;1.501565;0.3734804;0.5608051;0.00072224496;2558;25019;4;4;4;4;5;7;1;16;5
ESS10SCe03_1;10;03.янв;02.11.2023;13158;SE;1;1.1235374;0.3734804;0.41961923;0.00072224496;2558;24935;6;8;7;3;3;2;2;27;18
ESS10SCe03_1;10;03.янв;02.11.2023;13165;SE;1;0.49096784;0.3734804;0.18336686;0.00072224496;2558;25064;7;9;9;6;5;2;2;63;3
ESS10SCe03_1;10;03.янв;02.11.2023;13189;SE;1;0.5331174;0.3734804;0.19910891;0.00072224496;2561;25731;3;2;5;3;4;2;2;85;2
ESS10SCe03_1;10;03.янв;02.11.2023;13200;SE;1;1.5429797;0.3734804;0.5762727;0.00072224496;2559;25291;7;6;9;7;6;6666;2;42;7
ESS10SCe03_1;10;03.янв;02.11.2023;13204;SE;1;0.6900318;0.3734804;0.25771338;0.00072224496;2564;26583;7;8;6;2;2;6666;1;70;8
ESS10SCe03_1;10;03.янв;02.11.2023;13206;SE;1;0.573678;0.3734804;0.21425751;0.00072224496;2562;26320;2;3;5;4;4;6666;1;60;18
ESS10SCe03_1;10;03.янв;02.11.2023;13246;SE;1;1.4518075;0.3734804;0.54222167;0.00072224496;2557;24688;5;7;9;1;1;6666;1;40;9
ESS10SCe03_1;10;03.янв;02.11.2023;13280;SE;1;1.0947621;0.3734804;0.4088722;0.00072224496;2559;25235;9;10;9;4;4;2;2;45;17
ESS10SCe03_1;10;03.янв;02.11.2023;13320;SE;1;0.9961043;0.3734804;0.37202543;0.00072224496;2558;26210;5;6;6;4;3;6666;2;52;13
ESS10SCe03_1;10;03.янв;02.11.2023;13334;SE;1;1.08162;0.3734804;0.40396386;0.00072224496;2561;25919;9;8;8;7;7;6666;2;53;13
ESS10SCe03_1;10;03.янв;02.11.2023;13352;SE;1;0.5187619;0.3734804;0.1937474;0.00072224496;2564;26523;8;8;8;6;6;6666;1;72;14
ESS10SCe03_1;10;03.янв;02.11.2023;13362;SE;1;1.6756226;0.3734804;0.62581223;0.00072224496;2560;25591;2;2;8;2;2;6666;1;31;7
ESS10SCe03_1;10;03.янв;02.11.2023;13405;SE;1;0.74856144;0.3734804;0.27957302;0.00072224496;2557;24491;6;9;7;3;1;6666;1;66;8
ESS10SCe03_1;10;03.янв;02.11.2023;13406;SE;1;0.5785348;0.3734804;0.21607141;0.00072224496;2557;24508;7;7;7;6;5;6666;2;63;9
ESS10SCe03_1;10;03.янв;02.11.2023;13428;SE;1;1.6068177;0.3734804;0.60011494;0.00072224496;2557;24843;5;5;4;4;4;6666;1;19;7
ESS10SCe03_1;10;03.янв;02.11.2023;13429;SE;1;1.1877126;0.3734804;0.44358736;0.00072224496;2559;25176;7;7;9;3;3;2;1;54;17
